icd_10,Name,Name_DO,symptoms,names_ru,symptoms_ru_no_stat,
B18.1,chronic viral hepatitis b without delta-agent,,"['Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Abdominal Pain', 'Anorexia', 'Cough', 'Dyspnea', 'Proteinuria', 'Obesity', 'Hearing Loss, Sensorineural', 'Overweight', 'Fatigue', 'Hypergammaglobulinemia', 'Cerebrospinal Fluid Otorrhea', 'Dyskinesias', 'Dystonia', 'Mental Retardation', 'Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Tinnitus', 'Arthralgia', 'Angina Pectoris', 'Earache', 'Toothache', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic, Idiopathic', 'Albuminuria', 'Hearing Loss, Sudden']",Хронический вирусный гепатит B без дельта-агента,,
B18.2,chronic viral hepatitis c,,"['Fever', 'Body Weight', 'Weight Loss', 'Cyanosis', 'Muscle Weakness', 'Quadriplegia', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Respiratory Sounds', 'Proteinuria', 'Obesity', 'Edema', 'Hearing Loss', 'Hearing Loss, Sensorineural', 'Sleep Disorders', 'Diarrhea', 'Sneezing', 'Asthenia', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Fatigue', 'Hypergammaglobulinemia', 'Ataxia', 'Chorea', 'Dystonia', 'Psychomotor Agitation', 'Akathisia, Drug-Induced', 'Gait Disorders, Neurologic', 'Dysarthria', 'Learning Disorders', 'Confusion', 'Delirium', 'Coma', 'Memory Disorders', 'Psychomotor Disorders', 'Pain', 'Headache', 'Facial Paralysis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Tinnitus', 'Olfaction Disorders', 'Hypesthesia', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Color Vision Defects', 'Diplopia', 'Vision, Low', 'Vertigo', 'Abdomen, Acute', 'Arthralgia', 'Constipation', 'Jaundice', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Albuminuria', 'Hemoglobinuria', 'Torticollis', 'Hearing Loss, Sudden', 'Chills', 'Livedo Reticularis', 'Hearing Loss, Unilateral', 'Purpura, Hyperglobulinemic', 'Ageusia']",Хронический вирусный гепатит C,,
B18.8,,,,Другой хронический вирусный гепатит,,
B18.9,,,,Хронический вирусный гепатит неуточненный,"температура, слабость, боль в суставах, тошнота и рвота, высыпания, увеличение печени и селезёнки,   потемнение мочи, обесцвечивание кала",
B37.0,candidal stomatitis,,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Diarrhea, Infantile', 'Cough', 'Cachexia', 'Obesity', 'Edema', 'Oral Manifestations', 'Diarrhea', 'Hypergammaglobulinemia', 'Tremor', 'Mental Retardation', 'Tetany', 'Pain', 'Paresthesia', 'Taste Disorders', 'Voice Disorders', 'Hoarseness', 'Oral Hemorrhage', 'Hiccup', 'Tinea Pedis', 'Skin Manifestations', 'Glossalgia', 'Halitosis', 'Miosis', 'Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Diarrhea, Infantile', 'Cough', 'Cachexia', 'Obesity', 'Edema', 'Oral Manifestations', 'Diarrhea', 'Hypergammaglobulinemia', 'Tremor', 'Mental Retardation', 'Tetany', 'Pain', 'Paresthesia', 'Taste Disorders', 'Voice Disorders', 'Hoarseness', 'Oral Hemorrhage', 'Hiccup', 'Tinea Pedis', 'Skin Manifestations', 'Glossalgia', 'Halitosis', 'Miosis']",Кандидозный стоматит,,
B37.1,pulmonary candidiasis,,,Легочный кандидоз,"слабость, общее недомогание, кашель с выделением мокроты, боли в области легких, увеличение температуры тела, изменение голоса",
B37.2,candidiasis of skin and nail,candidal paronychia,,Кандидоз кожи и ногтей,"покраснение, припухлость, боль в области околоногтевого валика, ногтевой валик значительно нависает над ногтевой пластиной",
B37.3,candidiasis of vulva and vagina,vulvovaginal candidiasis,,Кандидоз вульвы и вагины,"Ощущения зуда и раздражения во влагалище и вульве, Покраснение и отек вульвы, Вагинальная сыпь, Водянистые выделения из влагалища, Густые белые творожистые выделения из влагалища без запаха",
C16.0,malignant neoplasm of cardia,cardia cancer,,Злокач. новообр. кардии желудка,"отрыжка пищей, быстрая потеря веса, насыщение малым количеством еды, чувство повреждения пищевода, анемия, повышенное слюноотделение",
C16.1,malignant neoplasm of fundus of stomach,gastric fundus cancer,,Злокач. новообр. дна желудка,"Повышенная утомляемость, Постоянный дискомфорт в желудке и области живота, Постоянная боль в животе,  Постоянная сильная изжога",
C16.2,malignant neoplasm of body of stomach,stomach cancer,"['Heartburn', 'Hiccup', 'Purpura, Thrombocytopenic', 'Purpura, Thrombotic Thrombocytopenic', 'Pain, Postoperative', 'Vomiting', 'Weight Loss', 'Cachexia', 'Fever', 'Purpura, Thrombocytopenic, Idiopathic', 'Hyperemesis Gravidarum', 'Jaundice, Obstructive', 'Edema', 'Gastroparesis', 'Nausea', 'Abdominal Pain', 'Diarrhea', 'Body Weight', 'Emaciation', 'Eructation', 'Flatulence', 'Fatigue', 'Anorexia', 'Constipation', 'Vomiting, Anticipatory', 'Dyspepsia', 'Abdomen, Acute', 'Asthenia', 'Hematemesis']",Злокач. новообр. тела желудка,,
C16.3,malignant neoplasm of pyloric antrum,pyloric antrum cancer,,Злокач. новообр. преддверия привратника желудка,"дискомфорт в верхней части желудка, анемия, тошнота и эпизодическая рвота сразу после приема пищи, черный жидкий стул, быстрое истощение, увеличенные лимфоузлы, боль в желудке,",
C16.4,malignant neoplasm of pylorus,ectopia lentis with ectopia of pupil,,Злокач. новообр. привратника желудка,"дискомфорт в верхней части желудка, анемия, тошнота и эпизодическая рвота сразу после приема пищи, черный жидкий стул, быстрое истощение, увеличенные лимфоузлы, боль в желудке,",
C16.5,"malignant neoplasm of lesser curvature of stomach, unspecified",familial partial lipodystrophy,,Злокач. новообр. малой кривизны желудка неуточненной части,"дискомфорт в верхней части желудка, анемия, тошнота и эпизодическая рвота сразу после приема пищи, черный жидкий стул, быстрое истощение, увеличенные лимфоузлы, боль в желудке,",
C16.6,"malignant neoplasm of greater curvature of stomach, unspecified",EWSR1-negative small round cell tumor,,Злокач. новообр. большой кривизны желудка неуточненной части,"дискомфорт в верхней части желудка, анемия, тошнота и эпизодическая рвота сразу после приема пищи, черный жидкий стул, быстрое истощение, увеличенные лимфоузлы, боль в желудке,",
C16.8,malignant neoplasm of overlapping sites of stomach,,,"Поражение желудка, выходящее за пределы одной и более вышеуказ. локализ.","дискомфорт в верхней части желудка, анемия, тошнота и эпизодическая рвота сразу после приема пищи, черный жидкий стул, быстрое истощение, увеличенные лимфоузлы, боль в желудке,",
C16.9,"malignant neoplasm of stomach, unspecified",,"['Fever', 'Hypothermia', 'Body Weight', 'Weight Loss', 'Cyanosis', 'Muscle Weakness', 'Quadriplegia', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Respiratory Sounds', 'Proteinuria', 'Weight Gain', 'Cachexia', 'Obesity', 'Edema', 'Paralysis', 'Hearing Loss', 'Hearing Loss, Sensorineural', 'Diarrhea', 'Asthenia', 'Fever of Unknown Origin', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Fatigue', 'Hypergammaglobulinemia', 'Ataxia', 'Cerebellar Ataxia', 'Myoclonus', 'Akathisia, Drug-Induced', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Mental Retardation', 'Hallucinations', 'Muscle Hypotonia', 'Muscular Atrophy', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Sciatica', 'Pain, Intractable', 'Facial Paralysis', 'Gastroparesis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Vocal Cord Paralysis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Hearing Loss, Bilateral', 'Olfaction Disorders', 'Hyperalgesia', 'Taste Disorders', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Diplopia', 'Urinary Bladder, Neurogenic', 'Vertigo', 'Hoarseness', 'Abdomen, Acute', 'Colic', 'Arthralgia', 'Chest Pain', 'Angina Pectoris', 'Pain, Postoperative', 'Constipation', 'Dyspepsia', 'Flatulence', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Vomiting', 'Hematemesis', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Polyuria', 'Albuminuria', 'Hemoglobinuria', 'Virilism', 'Neurologic Manifestations', 'Gerstmann Syndrome', 'Spasm', 'Hearing Loss, Sudden', 'Skin Manifestations', 'Feminization', 'Flushing', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hyperemesis Gravidarum', 'Vomiting, Anticipatory', 'Hirsutism', 'Cafe-au-Lait Spots', 'Pallor', 'Aerophagy', 'Eructation', 'Fever', 'Hypothermia', 'Body Weight', 'Weight Loss', 'Cyanosis', 'Muscle Weakness', 'Quadriplegia', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Respiratory Sounds', 'Proteinuria', 'Weight Gain', 'Cachexia', 'Obesity', 'Edema', 'Paralysis', 'Hearing Loss', 'Hearing Loss, Sensorineural', 'Diarrhea', 'Asthenia', 'Fever of Unknown Origin', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Fatigue', 'Hypergammaglobulinemia', 'Ataxia', 'Cerebellar Ataxia', 'Myoclonus', 'Akathisia, Drug-Induced', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Mental Retardation', 'Hallucinations', 'Muscle Hypotonia', 'Muscular Atrophy', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Sciatica', 'Pain, Intractable', 'Facial Paralysis', 'Gastroparesis', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Vocal Cord Paralysis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Hearing Loss, Bilateral', 'Olfaction Disorders', 'Hyperalgesia', 'Taste Disorders', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Diplopia', 'Urinary Bladder, Neurogenic', 'Vertigo', 'Hoarseness', 'Abdomen, Acute', 'Colic', 'Arthralgia', 'Chest Pain', 'Angina Pectoris', 'Pain, Postoperative', 'Constipation', 'Dyspepsia', 'Flatulence', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Vomiting', 'Hematemesis', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Schoenlein-Henoch', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Polyuria', 'Albuminuria', 'Hemoglobinuria', 'Virilism', 'Neurologic Manifestations', 'Gerstmann Syndrome', 'Spasm', 'Hearing Loss, Sudden', 'Skin Manifestations', 'Feminization', 'Flushing', 'Horner Syndrome', 'Postoperative Nausea and Vomiting', 'Hyperemesis Gravidarum', 'Vomiting, Anticipatory', 'Hirsutism', 'Cafe-au-Lait Spots', 'Pallor', 'Aerophagy', 'Eructation']",Злокач. новообр. желудка неуточненной локализации,,
C18.0,malignant neoplasm of cecum,cecum cancer,,Злокач. новообр. слепой кишки,"боль и дискомфорт в животе, ректальные кровотечения, гепатомегалия (патологическое изменение размеров печени), асцит (водянка в брюшной полости), резкая потеря веса и общая усталость",
C18.1,malignant neoplasm of appendix,appendix cancer,"['Abdomen, Acute', 'Vomiting', 'Abdominal Pain']",Злокач. новообр. червеобразного отростка,,
C18.2,malignant neoplasm of ascending colon,ascending colon cancer,,Злокач. новообр. восходящей ободочной кишки,"Постоянные боли в животе, газообразование, вздутие, спазмы",
C18.3,malignant neoplasm of hepatic flexure,hepatic flexure cancer,,Злокач. новообр. печеночного изгиба ободочной кишки,"Постоянные боли в животе, газообразование, вздутие, спазмы",
C18.4,malignant neoplasm of transverse colon,transverse colon cancer,,Злокач. новообр. поперечной ободочной кишки,"Постоянные боли в животе, газообразование, вздутие, спазмы",
C18.5,malignant neoplasm of splenic flexure,splenic flexure cancer,,Злокач. новообр. селезеночного изгиба ободочной кишки,"Постоянные боли в животе, газообразование, вздутие, спазмы",
C18.6,malignant neoplasm of descending colon,descending colon cancer,,Злокач. новообр. нисходящей ободочной кишки,"Постоянные боли в животе, газообразование, вздутие, спазмы",
C18.7,malignant neoplasm of sigmoid colon,sigmoid colon cancer,,Злокач. новообр. сигмовидной кишки,"урчание, вздутие живота, тошнота, потеря аппетита, слизь в кале, изменение окраски кала, чередование диареи и запора",
C18.8,malignant neoplasm of overlapping sites of colon,,,"Поражение ободочной кишки, вых. за пределы одной и более вышеуказ. лок.",,
C18.9,"malignant neoplasm of colon, unspecified",large intestine cancer,"['Aging, Premature', 'Fever', 'Body Weight', 'Weight Loss', 'Muscle Weakness', 'Quadriplegia', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Dyspnea', 'Hypercapnia', 'Proteinuria', 'Weight Gain', 'Cachexia', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Hearing Loss', 'Diarrhea', 'Hyperoxia', 'Asthenia', 'Fever of Unknown Origin', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Fatigue', 'Hypergammaglobulinemia', 'Ataxia', 'Cerebellar Ataxia', 'Myoclonus', 'Aphasia', 'Confusion', 'Consciousness Disorders', 'Coma', 'Syncope', 'Memory Disorders', 'Mental Retardation', 'Muscular Atrophy', 'Myotonia', 'Pain', 'Back Pain', 'Low Back Pain', 'Neuralgia', 'Pain, Intractable', 'Hemiplegia', 'Ophthalmoplegia', 'Paraplegia', 'Paresis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Dizziness', 'Paresthesia', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Hemianopsia', 'Urinary Bladder, Neurogenic', 'Vertigo', 'Hoarseness', 'Abdomen, Acute', 'Colic', 'Arthralgia', 'Chest Pain', 'Angina Pectoris', 'Angina, Unstable', 'Pain, Postoperative', 'Constipation', 'Dyspepsia', 'Flatulence', 'Vomiting', 'Hematemesis', 'Jaundice', 'Jaundice, Obstructive', 'Purpura', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Urinary Incontinence', 'Neurologic Manifestations', 'Spasm', 'Skin Manifestations', 'Chills', 'Feminization', 'Trismus', 'Postoperative Nausea and Vomiting', 'Vomiting, Anticipatory', 'Hearing Loss, High-Frequency', 'Dysphonia', 'Glossalgia', 'Halitosis', 'Cafe-au-Lait Spots']",Злокач. новообр. ободочной кишки неуточненной локализации,,
C20,malignant neoplasm of rectum,rectum cancer,"['Fever', 'Flatulence', 'Diarrhea', 'Pruritus', 'Pelvic Pain', 'Anorexia', 'Fatigue', 'Pain, Postoperative', 'Vomiting, Anticipatory', 'Nausea', 'Vomiting', 'Urinary Incontinence', 'Pain', 'Dysuria', 'Abdominal Pain', 'Constipation', 'Urinary Bladder, Neurogenic', 'Pain, Intractable']",Злокачественное новообразование прямой кишки,,
C25.0,malignant neoplasm of head of pancreas,pancreatic cancer,"['Anoxia', 'Abdominal Pain', 'Vomiting', 'Dyspepsia', 'Weight Loss', 'Unconsciousness', 'Neurologic Manifestations', 'Skin Manifestations', 'Vomiting, Anticipatory', 'Gastroparesis', 'Abdomen, Acute', 'Confusion', 'Hematemesis', 'Pain, Intractable', 'Anorexia', 'Nausea', 'Back Pain', 'Cachexia', 'Jaundice, Obstructive', 'Pain', 'Necrolytic Migratory Erythema', 'Jaundice', 'Pain, Postoperative', 'Diarrhea']",Злокач. новообр. головки поджелудочной железы,,
C25.1,malignant neoplasm of body of pancreas,pancreatic cancer,"['Anoxia', 'Abdominal Pain', 'Vomiting', 'Dyspepsia', 'Weight Loss', 'Unconsciousness', 'Neurologic Manifestations', 'Skin Manifestations', 'Vomiting, Anticipatory', 'Gastroparesis', 'Abdomen, Acute', 'Confusion', 'Hematemesis', 'Pain, Intractable', 'Anorexia', 'Nausea', 'Back Pain', 'Cachexia', 'Jaundice, Obstructive', 'Pain', 'Necrolytic Migratory Erythema', 'Jaundice', 'Pain, Postoperative', 'Diarrhea']",Злокач. новообр. тела поджелудочной железы,,
C25.2,malignant neoplasm of tail of pancreas,pancreatic cancer,"['Anoxia', 'Abdominal Pain', 'Vomiting', 'Dyspepsia', 'Weight Loss', 'Unconsciousness', 'Neurologic Manifestations', 'Skin Manifestations', 'Vomiting, Anticipatory', 'Gastroparesis', 'Abdomen, Acute', 'Confusion', 'Hematemesis', 'Pain, Intractable', 'Anorexia', 'Nausea', 'Back Pain', 'Cachexia', 'Jaundice, Obstructive', 'Pain', 'Necrolytic Migratory Erythema', 'Jaundice', 'Pain, Postoperative', 'Diarrhea']",Злокач. новообр. хвоста поджелудочной железы,,
C25.3,malignant neoplasm of pancreatic duct,pancreatic ductal carcinoma,,Злокач. новообр. протока поджелудочной железы,,
C25.4,malignant neoplasm of endocrine pancreas,islet cell tumor,"['Body Weight', 'Weight Loss', 'Cyanosis', 'Seizures', 'Abdominal Pain', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Proteinuria', 'Obesity', 'Edema', 'Paralysis', 'Sleep Disorders', 'Diarrhea', 'Obesity, Morbid', 'Speech Disorders', 'Confusion', 'Delirium', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscular Atrophy', 'Pain', 'Back Pain', 'Hemiplegia', 'Hyperesthesia', 'Vision Disorders', 'Diplopia', 'Abdomen, Acute', 'Chest Pain', 'Dyspepsia', 'Heartburn', 'Hyperphagia', 'Hyperphagia', 'Vomiting', 'Jaundice', 'Urinary Incontinence', 'Virilism', 'Neurologic Manifestations', 'Skin Manifestations', 'Flushing', 'Scotoma', 'Hirsutism']",Злокач. новообр. островковых клеток поджелудочной железы,,
C25.7,malignant neoplasm of other parts of pancreas,,,Злокач. новообр. других частей поджелудочной железы,,
C25.8,,,,"Поражение поджелудочной железы, вых.за пределы одной и более вышеуказ. лок.","понос, отсутствие аппетита, желтушность кожи, слабость, тошнота и рвота",
C25.9,"malignant neoplasm of pancreas, unspecified",,"['Fever', 'Body Weight', 'Weight Loss', 'Cyanosis', 'Muscle Weakness', 'Quadriplegia', 'Seizures', 'Abdominal Pain', 'Anorexia', 'Diarrhea, Infantile', 'Nausea', 'Anoxia', 'Cough', 'Dyspnea', 'Hemoptysis', 'Proteinuria', 'Weight Gain', 'Cachexia', 'Obesity', 'Edema', 'Paralysis', 'Hearing Disorders', 'Sleep Disorders', 'Diarrhea', 'Asthenia', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Fatigue', 'Hypergammaglobulinemia', 'Mobility Limitation', 'Cerebellar Ataxia', 'Chorea', 'Dystonia', 'Psychomotor Agitation', 'Akathisia, Drug-Induced', 'Tremor', 'Speech Disorders', 'Aphasia', 'Confusion', 'Delirium', 'Consciousness Disorders', 'Unconsciousness', 'Coma', 'Syncope', 'Memory Disorders', 'Mental Retardation', 'Psychomotor Disorders', 'Muscular Atrophy', 'Pain', 'Back Pain', 'Low Back Pain', 'Headache', 'Neuralgia', 'Sciatica', 'Pain, Intractable', 'Facial Paralysis', 'Gastroparesis', 'Hemiplegia', 'Paresis', 'Psychophysiologic Disorders', 'Dizziness', 'Deafness', 'Hearing Loss, Bilateral', 'Somatosensory Disorders', 'Hyperesthesia', 'Paresthesia', 'Taste Disorders', 'Dysgeusia', 'Vision Disorders', 'Blindness', 'Diplopia', 'Hemianopsia', 'Vision, Low', 'Vertigo', 'Abdomen, Acute', 'Colic', 'Chest Pain', 'Acute Coronary Syndrome', 'Pain, Postoperative', 'Constipation', 'Dyspepsia', 'Heartburn', 'Hiccup', 'Hyperphagia', 'Vomiting', 'Hematemesis', 'Jaundice', 'Jaundice, Obstructive', 'Pruritus', 'Purpura', 'Purpura, Thrombocytopenic', 'Purpura, Thrombocytopenic, Idiopathic', 'Purpura, Thrombotic Thrombocytopenic', 'Polyuria', 'Albuminuria', 'Virilism', 'Neurologic Manifestations', 'Hearing Loss, Sudden', 'Shoulder Pain', 'Skin Manifestations', 'Chills', 'Feminization', 'Flushing', 'Intermittent Claudication', 'Scotoma', 'Hyperemesis Gravidarum', 'Vomiting, Anticipatory', 'Dysuria', 'Hirsutism', 'Glossalgia', 'Halitosis', 'Oliguria', 'Flank Pain', 'Sarcopenia', 'Necrolytic Migratory Erythema', 'Amnesia, Retrograde', 'Aerophagy', 'Eructation', 'Urinoma']",Злокач. новообр. поджелудочной железы неуточненное,,
C43.0,malignant melanoma of lip,,,Злокачеств. меланома губы,"язвы в ротовой полости, носовые кровотечения, припухлость на шее, увеличенный лимфатический узел в области нижней челюсти",
C53.0,malignant neoplasm of endocervix,,,Злокач. новообр. внутренней части шейки матки,"выделения из влагалища прозрачные или желтоватые (лейкорея), продолжительные, обильные и болезненные менструации, вагинальные кровотечения в менопаузе, боль при половом акте",
C53.1,malignant neoplasm of exocervix,,,Злокач. новообр. наружной части шейки матки,"болезненные мочеиспускания, водянистые обильные бели (лейкорея), обильные и болезненные менструации, вагинальные кровотечения в менопаузе",
C53.8,malignant neoplasm of overlapping sites of cervix uteri,,,"Поражение шейки матки, выходящее за пределы одной и более вышеуказ. лок.","кровянистые выделения в периоды между менструациями, мажущие выделения после сексуального контакта,  неприятные ощущения во время половых актов",
C53.9,"malignant neoplasm of cervix uteri, unspecified",,,Злокач. новообр. шейки матки неуточненной части,"увеличивается продолжительность и интенсивность месячных, появляются незначительные промежуточные кровотечения, обильные прозрачные или желтоватые водянистые бели, снижение работоспособности, слабость, недомогание",
C54.0,malignant neoplasm of isthmus uteri,,,Злокач. новообр. перешейка матки,"увеличивается продолжительность и интенсивность месячных, появляются незначительные промежуточные кровотечения, обильные прозрачные или желтоватые водянистые бели, снижение работоспособности, слабость, недомогание",
C54.1,,,"['Fever', 'Body Weight', 'Birth Weight', 'Weight Loss', 'Abdominal Pain', 'Nausea', 'Anoxia', 'Dyspnea', 'Hemoptysis', 'Weight Gain', 'Obesity', 'Edema', 'Diarrhea', 'Emaciation', 'Overweight', 'Obesity, Morbid', 'Thinness', 'Fatigue', 'Hot Flashes', 'Psychomotor Agitation', 'Syncope', 'Memory Disorders', 'Pain', 'Pain, Intractable', 'Gastroparesis', 'Psychophysiologic Disorders', 'Sensation Disorders', 'Vision Disorders', 'Blindness', 'Blindness, Cortical', 'Vision, Low', 'Abdomen, Acute', 'Chest Pain', 'Pain, Postoperative', 'Pelvic Pain', 'Constipation', 'Vomiting', 'Pruritus', 'Purpura, Thrombocytopenic, Idiopathic', 'Urinary Incontinence', 'Shoulder Pain', 'Urinary Incontinence, Stress', 'Syncope, Vasovagal', 'Postoperative Nausea and Vomiting', 'Vomiting, Anticipatory', 'Dysmenorrhea']",Злокач. новообр. эндометрия,,
C54.2,,,,Злокач. новообр. миометрия,"кровянистые выделения разной интенсивности (чаще мажущие), появление обильных водянистых белей",
